cost_scenario,fp_cost,fn_cost,model,threshold,recall,precision,f1,far,tn,fp,fn,tp,total_cost
C4,1,10,Random Forest,0.8,0.15498154981549817,0.9545454545454546,0.26666666666666666,0.00025876568766981497,7727,2,229,42,2292
C1,1,1,Random Forest,0.85,0.07749077490774908,1.0,0.14383561643835616,0.0,7729,0,250,21,250
C2,1,2,Random Forest,0.85,0.07749077490774908,1.0,0.14383561643835616,0.0,7729,0,250,21,500
C3,1,5,Random Forest,0.85,0.07749077490774908,1.0,0.14383561643835616,0.0,7729,0,250,21,1250
C4,1,10,Random Forest,0.85,0.07749077490774908,1.0,0.14383561643835616,0.0,7729,0,250,21,2500
C1,1,1,Random Forest,0.9,0.03690036900369004,1.0,0.0711743772241993,0.0,7729,0,261,10,261
C2,1,2,Random Forest,0.9,0.03690036900369004,1.0,0.0711743772241993,0.0,7729,0,261,10,522
C3,1,5,Random Forest,0.9,0.03690036900369004,1.0,0.0711743772241993,0.0,7729,0,261,10,1305
C4,1,10,Random Forest,0.9,0.03690036900369004,1.0,0.0711743772241993,0.0,7729,0,261,10,2610
C1,1,1,Random Forest,0.95,0.0036900369003690036,1.0,0.007352941176470588,0.0,7729,0,270,1,270
C2,1,2,Random Forest,0.95,0.0036900369003690036,1.0,0.007352941176470588,0.0,7729,0,270,1,540
C3,1,5,Random Forest,0.95,0.0036900369003690036,1.0,0.007352941176470588,0.0,7729,0,270,1,1350
C4,1,10,Random Forest,0.95,0.0036900369003690036,1.0,0.007352941176470588,0.0,7729,0,270,1,2700
